Pion_PEs_rates,Pion_PEs_rates_Uncertainty,Moller_PEs_rates,Moller_PEs_rates_Uncertainty,Ratio,Ratio_Uncertainty,
1.48E+08,10621500,1.17E+11,-3.28E+09,1.26E-03,1.33E-04,
1.75E+08,9446140,1.36E+11,-3.53E+09,1.29E-03,1.04E-04,
1.47E+08,13069200,1.10E+11,-2.86E+09,1.34E-03,1.72E-04,
1.18E+08,8896100,9.85E+10,-2.15E+09,1.20E-03,1.30E-04,
1.18E+08,7679240,1.22E+11,-3.11E+09,9.67E-04,9.22E-05,
1.33E+08,9087130,1.73E+11,-3.15E+09,7.67E-04,7.56E-05,
1.53E+08,9498560,2.52E+11,-2.48E+09,6.08E-04,5.36E-05,
1.53E+08,11556500,3.38E+11,-5.58E+09,4.53E-04,4.88E-05,
1.59E+08,8268090,2.61E+11,-3.80E+09,6.09E-04,4.56E-05,
1.21E+08,6582850,1.73E+11,-4.06E+09,6.99E-04,5.61E-05,
1.27E+08,10277400,1.23E+11,-2.67E+09,1.03E-03,1.20E-04,
1.37E+08,13831600,1.02E+11,-3.47E+09,1.35E-03,1.98E-04,
1.41E+08,11325400,1.14E+11,-2.96E+09,1.24E-03,1.44E-04,
1.56E+08,9001180,1.27E+11,-2.51E+09,1.23E-03,1.03E-04,
1.69E+08,9902430,1.09E+11,-3.33E+09,1.54E-03,1.36E-04,
1.16E+08,7640970,9.56E+10,-2.34E+09,1.21E-03,1.17E-04,
1.27E+08,9017700,1.16E+11,-2.52E+09,1.09E-03,1.12E-04,
1.31E+08,7685790,1.71E+11,-2.30E+09,7.64E-04,6.42E-05,
1.56E+08,5600700,2.55E+11,-1.61E+09,6.11E-04,3.13E-05,
1.52E+08,10178700,3.51E+11,-4.77E+09,4.33E-04,4.15E-05,
1.54E+08,6427000,2.58E+11,-4.84E+09,5.95E-04,3.69E-05,
1.38E+08,7581060,1.70E+11,-3.15E+09,8.08E-04,6.47E-05,
1.35E+08,8845420,1.18E+11,-3.77E+09,1.14E-03,1.12E-04,
1.32E+08,9973990,1.01E+11,-3.05E+09,1.31E-03,1.45E-04,
1.56E+08,16686000,1.16E+11,-3.90E+09,1.34E-03,2.08E-04,
1.74E+08,14675900,1.30E+11,-2.68E+09,1.33E-03,1.62E-04,
1.44E+08,14018000,1.14E+11,-2.11E+09,1.25E-03,1.75E-04,
1.25E+08,5907870,1.03E+11,-3.24E+09,1.21E-03,8.95E-05,
1.36E+08,6891620,1.18E+11,-2.97E+09,1.15E-03,8.75E-05,
1.26E+08,6291620,1.24E+11,-2.31E+09,1.01E-03,7.39E-05,
1.45E+08,13513200,2.57E+11,-4.74E+09,5.64E-04,7.49E-05,
1.56E+08,9040410,3.49E+11,-5.00E+09,4.46E-04,3.72E-05,
1.48E+08,10014300,2.53E+11,-2.32E+09,5.85E-04,5.63E-05,
1.38E+08,7928660,1.71E+11,-2.55E+09,8.03E-04,6.65E-05,
1.11E+08,6031070,1.24E+11,-2.27E+09,8.93E-04,7.06E-05,
1.25E+08,13693900,1.08E+11,-2.64E+09,1.15E-03,1.81E-04,
1.54E+08,8756330,1.18E+11,-1.55E+09,1.30E-03,1.06E-04,
1.73E+08,10243500,1.37E+11,-3.72E+09,1.26E-03,1.11E-04,
1.39E+08,10113100,1.20E+11,-3.36E+09,1.16E-03,1.24E-04,
1.01E+08,6797240,1.04E+11,-3.19E+09,9.70E-04,9.74E-05,
1.31E+08,10007000,1.20E+11,-1.84E+09,1.09E-03,1.19E-04,
1.50E+08,9617870,1.73E+11,-2.58E+09,8.71E-04,7.98E-05,
1.66E+08,9917390,2.60E+11,-3.38E+09,6.39E-04,5.45E-05,
1.52E+08,8185110,3.54E+11,-2.94E+09,4.29E-04,3.29E-05,
1.44E+08,9710870,2.56E+11,-2.89E+09,5.62E-04,5.41E-05,
1.22E+08,7337330,1.72E+11,-2.70E+09,7.13E-04,6.14E-05,
1.24E+08,7049590,1.22E+11,-2.96E+09,1.01E-03,8.49E-05,
1.23E+08,8510620,1.05E+11,-3.57E+09,1.17E-03,1.21E-04,
1.47E+08,11472400,1.20E+11,-4.02E+09,1.22E-03,1.41E-04,
1.51E+08,10381000,1.29E+11,-2.53E+09,1.17E-03,1.16E-04,
1.44E+08,14107800,1.10E+11,-2.25E+09,1.30E-03,1.83E-04,
1.24E+08,5497920,9.99E+10,-1.59E+09,1.24E-03,8.02E-05,
1.30E+08,8488190,1.18E+11,-1.92E+09,1.10E-03,1.03E-04,
1.27E+08,11375200,1.68E+11,-3.58E+09,7.56E-04,9.73E-05,
1.49E+08,9470920,2.56E+11,-3.94E+09,5.79E-04,5.29E-05,
1.25E+08,6696520,3.52E+11,-4.59E+09,3.54E-04,2.73E-05,
1.44E+08,8263130,2.51E+11,-3.19E+09,5.75E-04,4.72E-05,
1.36E+08,8526110,1.66E+11,-3.15E+09,8.15E-04,7.40E-05,
1.23E+08,6316690,1.21E+11,-4.26E+09,1.01E-03,8.18E-05,
1.24E+08,8228560,1.01E+11,-2.21E+09,1.24E-03,1.19E-04,
1.53E+08,11452800,1.13E+11,-2.52E+09,1.35E-03,1.47E-04,
1.75E+08,7510750,1.34E+11,-3.04E+09,1.30E-03,8.46E-05,
1.30E+08,11118100,1.12E+11,-2.46E+09,1.16E-03,1.42E-04,
1.25E+08,8028860,9.75E+10,-1.72E+09,1.28E-03,1.18E-04,
1.19E+08,5224800,1.19E+11,-3.91E+09,9.95E-04,6.99E-05,
1.28E+08,9015250,1.71E+11,-2.22E+09,7.46E-04,7.50E-05,
1.45E+08,10486700,2.54E+11,-4.24E+09,5.69E-04,5.91E-05,
1.77E+08,11356500,3.52E+11,-5.16E+09,5.03E-04,4.61E-05,
1.48E+08,9217700,2.53E+11,-4.02E+09,5.85E-04,5.23E-05,
1.43E+08,10419100,1.71E+11,-3.31E+09,8.35E-04,8.76E-05,
1.28E+08,8381740,1.25E+11,-2.75E+09,1.02E-03,9.74E-05,
1.17E+08,7486870,1.04E+11,-2.99E+09,1.12E-03,1.06E-04,
1.42E+08,11739700,1.15E+11,-3.39E+09,1.23E-03,1.48E-04,
1.67E+08,13197300,1.37E+11,-3.48E+09,1.22E-03,1.40E-04,
1.32E+08,4923330,1.14E+11,-2.90E+09,1.15E-03,6.77E-05,
1.09E+08,9403730,1.02E+11,-2.75E+09,1.08E-03,1.34E-04,
1.15E+08,7898600,1.19E+11,-3.28E+09,9.65E-04,9.73E-05,
1.30E+08,10195600,1.72E+11,-3.08E+09,7.57E-04,8.49E-05,
1.51E+08,11930800,2.56E+11,-2.65E+09,5.89E-04,6.62E-05,
1.53E+08,6559420,3.44E+11,-3.01E+09,4.43E-04,2.72E-05,
9.65E+06,537064,1.26E+10,-1.67E+08,7.64E-04,6.09E-05,
1.50E+08,8174930,1.74E+11,-2.72E+09,8.60E-04,6.77E-05,
1.50E+08,5672550,1.20E+11,-2.40E+09,1.25E-03,7.12E-05,
1.12E+08,9299560,1.05E+11,-2.09E+09,1.07E-03,1.26E-04,
