Pion_PEs_rates,Pion_PEs_rates_Uncertainty,Moller_PEs_rates,Moller_PEs_rates_Uncertainty,Ratio,Ratio_Uncertainty
2.52E-05,2.21E-06,4.13E-05,5.03E-06,3.79E-01,6.58E-02
4.01E-05,7.31E-06,3.21E-05,2.35E-06,5.55E-01,1.49E-01
5.06E-05,7.46E-06,2.67E-05,4.09E-06,6.55E-01,1.69E-01
4.50E-05,2.79E-06,3.44E-05,3.80E-06,5.67E-01,7.99E-02
5.34E-05,8.19E-06,8.16E-05,8.97E-06,3.96E-01,9.62E-02
5.05E-05,9.33E-06,3.04E-05,2.30E-06,6.24E-01,1.70E-01
3.87E-05,5.57E-06,3.17E-05,5.62E-06,5.50E-01,1.48E-01
5.14E-05,5.27E-06,3.59E-05,4.08E-06,5.89E-01,1.08E-01
5.18E-05,4.58E-06,9.14E-05,6.56E-06,3.62E-01,5.21E-02
4.90E-05,6.21E-06,3.58E-05,5.32E-06,5.78E-01,1.35E-01
4.12E-05,4.87E-06,4.34E-05,1.48E-05,4.87E-01,1.85E-01
6.00E-05,5.07E-06,3.32E-05,3.12E-06,6.44E-01,9.78E-02
4.24E-05,3.81E-06,8.82E-05,1.13E-05,3.25E-01,5.87E-02
4.21E-05,3.16E-06,3.36E-05,2.41E-06,5.56E-01,7.13E-02
5.74E-05,6.10E-06,2.81E-05,1.58E-06,6.71E-01,1.08E-01
4.13E-05,5.57E-06,3.58E-05,5.63E-06,5.36E-01,1.32E-01
6.97E-05,8.98E-06,9.73E-05,7.00E-06,4.17E-01,8.18E-02
4.80E-05,7.61E-06,2.88E-05,2.43E-06,6.25E-01,1.50E-01
3.45E-05,4.27E-06,2.18E-05,2.08E-06,6.13E-01,1.22E-01
3.93E-05,5.48E-06,3.91E-05,6.67E-06,5.01E-01,1.31E-01
4.68E-05,5.63E-06,8.50E-05,8.98E-06,3.55E-01,7.11E-02
5.39E-05,6.20E-06,3.28E-05,3.02E-06,6.22E-01,1.16E-01
6.14E-05,8.77E-06,3.05E-05,3.83E-06,6.68E-01,1.59E-01
4.89E-05,4.59E-06,3.70E-05,3.82E-06,5.69E-01,9.57E-02
4.79E-05,4.78E-06,9.88E-05,6.87E-06,3.27E-01,5.14E-02
5.01E-05,1.01E-05,3.73E-05,6.18E-06,5.73E-01,1.89E-01
4.73E-05,6.60E-06,2.46E-05,1.91E-06,6.58E-01,1.40E-01
5.40E-05,6.16E-06,3.43E-05,3.74E-06,6.12E-01,1.19E-01
2.62E-05,2.25E-06,4.25E-05,6.88E-06,3.81E-01,7.71E-02
