Det_No,Det_ID,Moller_Asymmetry,Moller_Asymmetry_Uncertainty
1,150151,10899.9,74.2279
2,150152,11397.5,123.818
3,150153,10944.1,108.408
4,110151,9709.57,42.1976
5,110152,8234.56,145.382
6,110153,5105.43,115.842
7,150251,842.977,97.522
8,150252,-1858.25,109.2
9,150253,1331.9,171.047
10,110251,4748.89,119.863
11,110252,7544.47,129.24
12,110253,8441.67,77.6091
13,150351,8081.37,131.285
14,150352,7040.99,97.9672
15,150353,5543.58,90.5106
16,110351,3840.31,53.6973
17,110352,2876.72,47.7927
18,110353,1471.83,46.7709
19,150451,-129.41,36.0599
20,150452,-463.888,31.9698
21,150453,573.049,26.6392
22,110451,922.708,29.9988
23,110452,956.145,33.9925
24,110453,602.227,51.3105
25,150551,-950.32,48.7081
26,150552,-2634.99,63.371
27,150553,-3866.84,79.9263
28,110551,-4815.36,63.2125
29,110552,-4762.48,100.428
30,110553,-4345.05,65.2125
31,150651,-858.704,52.4707
32,150652,1483.15,90.434
33,150653,-281.28,60.5979
34,110651,-3490.23,63.6216
35,110652,-6117.83,80.1354
36,110653,-7597.02,73.33
37,150751,-9226.62,88.8103
38,150752,-10103.9,116.064
39,150753,-10587.2,137.117
40,110751,-10043.5,83.7073
41,110752,-8897.78,128.496
42,110753,-5301.67,140.921
43,150851,-1112.51,80.1971
44,150852,2245.74,119.814
45,150853,-837.15,159.603
46,110851,-5560.69,162.382
47,110852,-8951.12,106.241
48,110853,-10154.1,87.056
49,150951,-10625.3,98.6166
50,150952,-10250.6,81.7739
51,150953,-9109.61,124.108
52,110951,-7520.01,104.102
53,110952,-6220.77,61.4978
54,110953,-3595.43,112.409
55,151051,-404.141,119.304
56,151052,1494.9,87.706
57,151053,-924.797,57.5562
58,111051,-2936.73,109.945
59,111052,-4729.25,58.0205
60,111053,-4840.21,52.0217
61,151151,-3846.63,91.0508
62,151152,-2445.98,81.8819
63,151153,-886.103,112.296
64,111151,559.362,58.4668
65,111152,938.546,32.8562
66,111153,920.054,36.1982
67,151251,562.766,16.6828
68,151252,-500.899,42.7634
69,151253,-143.929,33.8845
70,111251,1460.18,40.9897
71,111252,2881.97,47.6252
72,111253,3890.47,62.6788
73,151351,5517.31,92.7795
74,151352,6990.01,78.3202
75,151353,7963.74,110.013
76,111351,8383.5,101.412
77,111352,7457.83,93.5187
78,111353,4629.58,122.115
79,151451,1214.53,105.62
80,151452,-2048.94,168.953
81,151453,384.247,131.451
82,111451,4710.13,171.433
83,111452,8326.39,71.3326
84,111453,9829.45,79.8329
