Phi,Moller_Asymmetry,Moller_Asymmetry_Uncertainty
-3.14159,2580.69,232.92
-2.91719,-226.909,95.9982
-2.69279,-1074.47,92.0296
-2.46839,-144.205,88.9423
-2.24399,1548.67,105.366
-2.0196,72.2513,65.951
-1.7952,-52.379,105.67
-1.5708,42.6763,61.9109
-1.3464,-444.888,78.9937
-1.122,514.019,70.1155
-0.897598,1193.02,71.2457
-0.673198,401.344,115.615
-0.448799,-2060.61,112.657
-0.224399,383.581,87.8452
0,1149.72,165.999
0.224399,245.433,98.4353
0.448799,-2036.55,114.84
0.673198,185.538,97.7179
0.897598,768.79,89.4997
1.122,218.645,101.603
1.3464,-385.967,54.5153
1.5708,100.124,97.7831
1.7952,-217.562,70.5815
2.0196,202.109,91.67
2.24399,1524.88,123.379
2.46839,-211.183,109.92
2.69279,-1193.1,83.918
2.91719,-88.5834,86.6787
3.14159,2447.44,123.608
