Phi,Moller_Asymmetry,Moller_Asymmetry_Uncertainty
-3.14159,245.485,82.1531
-2.91719,319.854,126.038
-2.69279,489.827,88.394
-2.46839,76.8091,114.177
-2.24399,-1886.92,110.49
-2.0196,250.989,66.107
-1.7952,1161.65,105.128
-1.5708,295.362,83.1113
-1.3464,-2543.87,87.2927
-1.122,380.505,118.411
-0.897598,1038.97,122.772
-0.673198,286.146,110.927
-0.448799,-1044.84,69.0732
-0.224399,57.753,148.901
0,-31.8895,69.257
0.224399,-41.292,83.5804
0.448799,1066.47,91.9056
0.673198,-181.63,104.949
0.897598,-978.492,94.5712
1.122,-238.99,92.2873
1.3464,2387.77,113.965
1.5708,-436.808,139.825
1.7952,-1467.02,101.283
2.0196,-261.693,74.9024
2.24399,1974.22,97.2295
2.46839,-158.855,137.767
2.69279,-244.657,124.717
2.91719,85.8485,107.969
3.14159,122.747,89.7778
