Det_No,Det_ID,Pion_Asymmetry,Pion_Asymmetry_Uncertainty
1,150151,19706.7,58.5957
2,150152,19817.1,51.8516
3,150153,19757.2,57.4606
4,110151,19650.8,51.595
5,110152,19593.6,38.6934
6,110153,19652.8,97.8527
7,150251,19410.9,58.4178
8,150252,19184.9,66.7175
9,150253,19404.1,78.4199
10,110251,19427.4,70.7513
11,110252,19636.8,57.8988
12,110253,19816.6,53.2697
13,150351,19759.1,61.1602
14,150352,19734.9,33.3422
15,150353,19797.3,71.1081
16,110351,19704.7,33.0268
17,110352,19579.3,55.443
18,110353,19470.8,45.8208
19,150451,19288.8,44.0139
20,150452,19399.1,85.002
21,150453,19363.3,47.9062
22,110451,19634.8,78.5145
23,110452,19722.3,51.3027
24,110453,19780.1,88.9728
25,150551,19772,61.7377
26,150552,19794.5,76.2309
27,150553,19762.8,42.8866
28,110551,19650.9,60.1756
29,110552,19699.1,83.0376
30,110553,19157.4,73.276
31,150651,19285.9,81.924
32,150652,19337.8,76.9821
33,150653,19425.9,57.8491
34,110651,19497.2,76.0596
35,110652,19636.9,78.6452
36,110653,19671,44.3034
37,150751,19791.1,66.3301
38,150752,19752.8,38.0284
39,150753,19761.1,62.0085
40,110751,19820.8,90.2495
41,110752,19613.9,59.7621
42,110753,19472.9,66.5556
43,150851,19302.1,60.3743
44,150852,19440.5,96.724
45,150853,19406.2,86.7672
46,110851,19483.5,72.2577
47,110852,19606.5,66.3785
48,110853,19805.8,86.2793
49,150951,19783.1,62.2016
50,150952,19773.2,65.1386
51,150953,19796.5,31.25
52,110951,19860.4,83.7174
53,110952,19830.2,64.6366
54,110953,19545.3,56.5914
55,151051,19436.8,64.2052
56,151052,19270.9,42.22
57,151053,19437.2,69.269
58,111051,19548.9,68.0278
59,111052,19641.1,65.78
60,111053,19758.3,80.3855
61,151151,19796.9,77.8979
62,151152,19859.6,67.24
63,151153,19785.4,68.8386
64,111151,19709,47.172
65,111152,19557.1,32.5877
66,111153,19424.4,54.0778
67,151251,19295.3,50.8702
68,151252,19243.9,62.8272
69,151253,19304.3,60.8647
70,111251,19486.6,45.6228
71,111252,19630.7,53.8148
72,111253,19718.1,56.2113
73,151351,19884.2,92.0321
74,151352,19765.8,53.585
75,151353,19879.8,105.789
76,111351,19639.2,53.2244
77,111352,19607.9,65.3618
78,111353,19473.8,99.4495
79,151451,19269.5,54.7748
80,151452,19253.8,58.5995
81,151453,19241.3,74.0727
82,111451,19524.5,65.0175
83,111452,19606.8,27.4464
84,111453,19802.1,63.3126
