Phi,Pion_Asymmetry,Pion_Asymmetry_Uncertainty
-3.14159,-64481.8,488.08
-2.91719,-61650.4,629.089
-2.69279,-53546.6,421.044
-2.46839,-44574.8,325.004
-2.24399,-39522.1,382.992
-2.0196,-30455.3,741.829
-1.7952,-11301.2,664.187
-1.5708,4097.45,582.793
-1.3464,14191.4,252.082
-1.122,23384,504.23
-0.897598,37263.2,685.559
-0.673198,50991.4,576.853
-0.448799,56913.6,445.732
-0.224399,58859.6,852.877
0:00,60622,537.015
0.224399,59236.5,363.106
0.448799,57867.9,428.962
0.673198,52127.5,446.909
0.897598,37844,565.18
1.122,23052.9,548.212
1.3464,14307.1,222.483
1.5708,4340.4,363.65
1.7952,-12800.9,862.832
2.0196,-30672.3,439.43
2.24399,-41027.5,379.285
2.46839,-46120.9,285.264
2.69279,-54299,501.603
2.91719,-61849.3,481.17
