Phi,Pion_Asymmetry,Pion_Asymmetry_Uncertainty
-3.14159,2219.56,487.418
-2.91719,10074.9,383.192
-2.69279,26589.4,737.712
-2.46839,41952.7,738.061
-2.24399,50159.3,452.1
-2.0196,53463.5,708.413
-1.7952,59241.5,667.607
-1.5708,61358.5,452.869
-1.3464,61942.1,562.517
-1.122,57187.8,677.524
-0.897598,46404.4,915.303
-0.673198,35767.2,443.9
-0.448799,28298.7,435.203
-0.224399,18760.5,580.91
0:00,-367.241,800.678
0.224399,-17398.6,834.398
0.448799,-27938.1,222.6
0.673198,-35176.3,484.977
0.897598,-46303,741.624
1.122,-56669.5,636.015
1.3464,-62539,239.487
1.5708,-61450.6,613.57
1.7952,-58655.6,572.7
2.0196,-53820.9,648.432
2.24399,-50766.9,287.088
2.46839,-40668.5,520.319
2.69279,-26563.9,684.827
2.91719,-10406.7,395.086
